star,hub_num,hub_influence
黄渤,0.00082078125782,0.00300839681828
罗玉凤,0.00502330370648,0.00239152497307
董路,0.000294189459609,5.45750112783e-05
贾跃亭,0.00245408982551,0.000496080677318
蔡康永,0.0012862494687,0.00201909309101
周鸿_,0.00904372329601,0.00518357010938
张向东,0.00319798116391,0.00015298233165
伟大的安妮,0.000361781302762,0.000652097016818
黄圣依,0.000771749681218,0.00257723702626
王小川,0.0012044470097,0.00763687822071
加措活佛-慈爱基金,0.00658607931205,0.0360473990862
范冰冰,0.00216718200866,0.0152456835939
王克勤,0.0154759421537,0.00481889934752
刘春,0.0154588911281,0.00884513064686
刘同,0.00729026826409,0.020332492492
俞永福,0.000217931291015,2.06714618417e-06
刘烨,0.000766125926306,0.00377134562209
徐昕,0.00507626067973,0.00702585928892
喻国明,0.00324475781029,0.000486291332858
韩寒,0.00108576839032,0.104215687012
王中磊,0.00154349936244,0.00112813626336
陈年,0.00394014430004,0.0004302485272
罗援,0.0015756596743,0.000256007538847
鞍钢郭明义,0.0212439278751,0.00147862170798
林炎志,0.00056353136408,1.88038561826e-06
袁莉wsj,0.0381661008986,0.00716446085404
急诊科女超人于莺,0.00162505461974,0.000482956752469
叫兽易小星,0.000259363377584,0.000246064035655
蒋锡培,0.00742500586449,0.00056622012504
雷军,0.00168623932027,0.00123211887117
撒贝宁,6.77291575372e-05,7.01605262857e-07
李厚霖,0.00456732368918,0.000370324809127
耳帝,0.00143070954231,0.00216514194109
林斌_Bin,0.00170044481484,0.000257706274196
何兵,0.00475847722399,0.00103873574834
张靓颖,0.00241331219686,0.00353696401648
佳桐,0.00035615754785,7.65257714598e-07
侯宁,0.0207545764119,0.000934543575068
休闲璐,0.00377476294318,0.00957043988443
杨幂,0.00329733052586,0.039567117451
主播李湘,0.000361781302762,0.00033537214233
延参法师,0.00231033752221,0.000776923088314
封新城,0.00611855103711,0.0014741265526
姚劲波,0.00186279680893,0.00037104512449
易中天,0.000209062818045,8.08661238808e-05
黑人建州,0.000771749681218,0.00139684088723
司马南,0.00257214874253,0.000266031992579
鲁健,0.00205173808857,0.000145433867691
朱骏,0.000475181184755,3.05638113843e-05
邓飞,0.00427442112949,0.000482484016365
叶檀,0.0128502020473,0.00285503984894
展江,0.00307119758116,0.000281347709888
大S,0.000370787524456,0.0043252679125
石述思,0.00753089038892,0.00501032114118
张小波,0.00581984367019,0.000158350492068
史玉柱大闲人,0.000466312711785,5.61357476456e-05
评论员杨禹,0.00419980917854,0.00447597317445
芮成钢,0.0031109750432,0.00224837433794
樊建川,0.00529247269058,0.00298921467755
陈光标,0.000553583951165,0.000123820807537
银教授,0.000929401885807,0.000176251162941
李铁根,0.000567620583045,0.000801367799568
周国平,6.77291575372e-05,1.84522184131e-05
曹景行,0.010150953114,6.01727896964e-05
郎咸平,0.000305091951913,6.95829064453e-05
爱国者冯军,0.000772890859869,6.92795691722e-06
倪正东,0.000217931291015,1.2674472954e-06
苏群,0.00145085226101,7.46343349003e-05
黄晓明,0.0101537335577,0.0426707775428
岳云鹏,0.00114324395786,0.00926475957235
潘石屹,0.0159810177005,0.0164372791531
使徒子,0.00287010197776,0.00633447652627
范以锦,0.00319596437038,8.94520786055e-05
鲁国平先生,0.00316844793122,0.000272324518611
袁国宝,0.0330048680536,0.00203452085617
何力,0.00536398162668,0.000126036440647
谷大白话,0.00182733451292,0.0014303474254
happy张江,0.00149750077194,0.00134883027587
袁腾飞,0.000248995945791,5.3252194147e-05
于建嵘,0.000383723601755,6.87797239965e-05
蔡依林,0.00154349936244,0.00382512668892
高圆圆,0.0012862494687,0.00446895989399
水皮,0.00914782956489,0.000164095457657
李静,0.00299570050523,0.00703749942592
甘肃梁和平,0.0013352810453,2.57023433895e-06
蔡文胜,0.00376298877973,0.00077549414216
杜子建,0.00320163740888,0.00011272716321
马伊_,0.000173529549497,0.000155969417105
张亚勤,0.00152623919279,0.000307518449833
王小山,0.00309098276156,0.000150815322256
天才小熊猫,0.0011457603091,0.00527160251982
小S,0.000314018709098,0.000761537694259
曹凤岐,9.80631532029e-05,1.43947850849e-06
闾丘露薇,0.0206394237982,0.0091765302831
庹祖海TuoZuhai,0.00975729665652,0.00106799303727
张鸣,0.00437067468363,0.00168726342666
土家野夫,0.00220181898494,0.000324266343899
李稻葵,0.000217931291015,1.05771494533e-05
刘诗诗,0.00169706234806,0.0241557820769
张泉灵,0.00190971490168,0.00392827311253
王尼玛,0.00232116501316,0.00934332872004
李维嘉,0.00232959185262,0.0102516669227
何炅,0.00544565559022,0.0304280834125
尹鸿,0.000839382148442,2.03326151576e-05
沈宏非,0.000521105357682,3.24742309729e-05
胡舒立,0.0458334401813,0.0029633085869
林俊杰,0.000828518496577,0.00408756253708
李小璐super璐,0.00722523643578,0.029034686925
张怡筠,0.000470964161503,0.000471989018245
王力宏,0.000620300179439,0.00328303571392
姚晨,0.010952691947,0.040679662652
黄磊微博,0.000257249893739,0.000255798338786
智化人生,0.00386726075033,4.18562844881e-06
追风少年刘全有,0.00158859618594,0.00318646010309
钱钢,0.000449477024172,0.000857174329562
北京王惠,0.0040647254351,0.000100625905774
昆明市长,0.00194784398598,0.00106672666642
陈士渠,0.042904487983,0.00467890161477
侯小强,0.00765867305403,0.00149316716102
阚治东,0.000514499787479,2.03115306232e-05
成都王文华,0.000274700106374,0.0
牛文文,0.00834277487802,0.000650159922885
陈志武,0.000492631397389,0.000109403219311
张歆艺,0.000888510415357,0.000701745726151
郭敬明,0.000104531409023,0.000226163802028
许小年,0.000257249893739,0.000197825845132
五岳散人,0.00273617958098,0.00176618534288
芙蓉姐姐,0.00207961478271,0.0448729690985
刘五一,0.000217931291015,6.03546331143e-08
赵薇,0.00170479958682,0.00732591534715
贺卫方,0.00543126890637,0.00295105906313
林更新,0.000257249893739,0.00225161780096
五行属二,0.00216472350729,0.00226780639059
彭于晏,0.00205799914992,0.00510856153018
杨锦麟,0.000622489864477,0.000184693444834
杨澜,0.00141098649324,0.000149113596901
瘦马,0.000257249893739,4.23156887983e-07
成龙,0.000869812834421,0.00284498817912
石康,0.000104531409023,4.42275879522e-06
袁岳,0.00418142385621,0.000229273471808
王思聪,0.000366215539247,0.00215425520948
杨伟庆,0.0010967287325,4.42867647251e-05
gogoboi,0.000944010247778,0.00260676719139
朱永新,0.00170149658455,2.54723292038e-05
叶匡政,0.00495671964246,0.000910308931981
雷颐,0.007451035139,0.00042767416516
江南春,0.0013352810453,3.40482419842e-05
马伯庸,0.000104531409023,3.03059494718e-05
陈鸣明,0.0104686084379,0.00040201337118
李冰冰,0.00565514289029,0.0137361301317
陈坤,0.00944137592387,0.0325967440082
哈_李敖,0.000688391505979,0.000147101394889
姬十三,0.00112332291555,0.00017072594478
麦家,0.000370787524456,3.86695840708e-05
吴晓波,0.000314018709098,6.41919418765e-05
唐嫣,0.00174609392466,0.0298796734734
吴奇隆,0.00154349936244,0.0140200340127
回忆专用小马甲,0.00259108140238,0.00651159067068
雷滚石1958,0.000771749681218,4.82398852301e-05
那英,0.000257249893739,2.22157366191e-05
李开复,0.0157696721504,0.0387890565904
盘锦周恩义,0.0296043329916,0.000275337719767
熊培云,0.000296758539455,5.34374677205e-05
李学凌,0.000104531409023,1.10568969881e-06
老李飞刀,0.000257249893739,6.77051020773e-06
孔庆东,0.000731719863159,8.59925033934e-05
沈浩波,0.000883421720956,3.67914417975e-05
谢娜,0.00262364399784,0.0195242003325
刘若英,0.00134301828406,0.00108969848516
韩志国,0.000217931291015,0.000107823552059
李东生,0.00186477254405,0.000164820970993
杨毅,4.90315766014e-05,6.41506726609e-06
