id,user,sex,identity,region,focus,fans,article,postall,join,transall,hub_num,hub_influence,iss1,iss2,iss3,iss4,iss5,iss6,con1,con2,con3,con4,con5,con6,man1,man2,man3,image,vedio,tag,link,iden_1,iden_2,iden_3,iden_4,iden_5,iden_6,reg_1,reg_2,reg_3,reg_4,reg_5,reg_6,fans_0,article_0,focus_0,filter_$,influence,number,post_0,join_0,iss1_0,iss2_0,iss3_0,iss4_0,iss5_0,iss6_0,con1_0,con2_0,con3_0,con4_0,con5_0,con6_0,man1_0,man2_0,man3_0,image_0,vedio_0,tag_0,link_0,iss1_ratio,iss2_ratio,iss3_ratio,iss4_ratio,iss5_ratio,iss6_ratio,con1_ratio,con2_ratio,con3_ratio,con4_ratio,con5_ratio,con6_ratio,man1_ratio,man2_ratio,man3_ratio,image_ratio,vedio_ratio,tag_ratio,link_ratio
11,蔡依林,1,1,4,172,3664,1744,6,5,18079,.0012262277631816,.00306941108931418,0,0,0,0,6,0,2,0,0,3,1,0,0,3,3,6,0,5,1,1,0,0,0,0,0,0,0,0,1,0,0,3.56395546499581,3.24154648059655,2.23552844690755,1,-2.51294494217601,-2.91142885517986,.778151250383644,.698970004336019, , , , ,.778151250383644, ,.301029995663981, , ,.477121254719662,0, , ,.477121254719662,.477121254719662,.778151250383644, ,.698970004336019,0,0,0,0,0,1,0,.333333333333333,0,0,.5,.166666666666667,0,0,.5,.5,1,0,.833333333333333,.166666666666667
12,曹凤岐,0,5,1,243,747,1107,2,2,46,9.37335086341117E-005,3.73479825767206E-007,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.8733206018154,3.04414762087872,2.38560627359831,0,-6.42773285246869,-4.02810512615186,.301029995663981,.301029995663981,.301029995663981, , , , , ,0, , ,0, , ,.301029995663981, , ,.301029995663981, , ,0,1,0,0,0,0,0,.5,0,0,.5,0,0,1,0,0,1,0,0,.5
13,曹景行,0,2,1,203,333,6877,99,4,1254,.0173864767186572,6.76421835423084E-006,2,2,0,2,0,93,63,35,1,0,0,0,99,0,0,85,2,98,19,0,1,0,0,0,0,1,0,0,0,0,0,2.52244423350632,3.83739902434202,2.30749603791321,0,-5.16978238148427,-1.75978841665586,1.99563519459755,.602059991327962,.301029995663981,.301029995663981, ,.301029995663981, ,1.96848294855394,1.79934054945358,1.54406804435028,0, , , ,1.99563519459755, , ,1.92941892571429,.301029995663981,1.99122607569249,1.27875360095283,.0202020202020202,.0202020202020202,0,.0202020202020202,0,.939393939393939,.636363636363636,.353535353535354,.0101010101010101,0,0,0,1,0,0,.858585858585859,.0202020202020202,.98989898989899,.191919191919192
14,陈东有,0,5,2,1503,64,3143,15,5,89,.00303167345544988,4.35498928555478E-005,2,0,0,0,12,1,0,3,2,8,2,0,3,11,1,8,0,6,4,0,0,0,0,1,0,0,1,0,0,0,0,1.80617997398389,3.49734438101758,3.17695898058691,0,-4.36101290913626,-2.51831757880962,1.17609125905568,.698970004336019,.301029995663981, , , ,1.07918124604762,0, ,.477121254719662,.301029995663981,.903089986991944,.301029995663981, ,.477121254719662,1.04139268515823,0,.903089986991944, ,.778151250383644,.602059991327962,.133333333333333,0,0,0,.8,.0666666666666667,0,.2,.133333333333333,.533333333333333,.133333333333333,0,.2,.733333333333333,.0666666666666667,.533333333333333,0,.4,.266666666666667
15,陈光标,0,4,2,1,470,2521,6,3,2528,.000458535716544127,4.69721935856858E-005,0,0,2,0,4,0,4,0,0,0,2,0,5,0,1,1,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,2.67209785793572,3.40157284567645,0,0,-4.32815915793653,-3.33862683034533,.778151250383644,.477121254719662, , ,.301029995663981, ,.602059991327962, ,.602059991327962, , , ,.301029995663981, ,.698970004336019, ,0,0, , ,.778151250383644,0,0,.333333333333333,0,.666666666666667,0,.666666666666667,0,0,0,.333333333333333,0,.833333333333333,0,.166666666666667,.166666666666667,0,0,1
16,陈坤,0,1,2,513,8096,5100,47,11,214330,.00834594378019449,.0511612278724021,0,0,10,3,33,1,13,3,6,17,8,0,2,24,21,37,0,9,14,1,0,0,0,0,0,0,1,0,0,0,0,3.90827049949572,3.70757017609794,2.71011736511182,1,-1.29105904097584,-2.07852454510161,1.67209785793572,1.04139268515823, , ,1,.477121254719662,1.51851393987789,0,1.11394335230684,.477121254719662,.778151250383644,1.23044892137827,.903089986991944, ,.301029995663981,1.38021124171161,1.32221929473392,1.568201724067, ,.954242509439325,1.14612803567824,0,0,.212765957446809,.0638297872340425,.702127659574468,.0212765957446809,.276595744680851,.0638297872340425,.127659574468085,.361702127659574,.170212765957447,0,.0425531914893617,.51063829787234,.446808510638298,.787234042553192,0,.191489361702128,.297872340425532
17,陈鸣明,0,5,2,723,58,5625,47,9,2535,.0110915858872154,.000103508786718231,0,7,0,0,40,0,28,3,4,12,0,0,6,17,24,39,0,17,7,0,0,0,0,1,0,0,1,0,0,0,0,1.76342799356294,3.7501225267834,2.85913829729453,0,-3.98502278198225,-1.95500635350587,1.67209785793572,.954242509439325, ,.845098040014257, , ,1.60205999132796, ,1.44715803134222,.477121254719662,.602059991327962,1.07918124604762, , ,.778151250383644,1.23044892137827,1.38021124171161,1.5910646070265, ,1.23044892137827,.845098040014257,0,.148936170212766,0,0,.851063829787234,0,.595744680851064,.0638297872340425,.0851063829787234,.25531914893617,0,0,.127659574468085,.361702127659574,.51063829787234,.829787234042553,0,.361702127659574,.148936170212766
18,陈年,0,4,1,207,614,3613,19,4,2660,.00322501408689513,.0010038784283538,0,0,5,14,0,0,10,1,0,7,1,0,0,4,15,15,0,6,1,0,0,0,1,0,0,1,0,0,0,0,0,2.78816837114117,3.55786796156802,2.31597034545692,0,-2.99831887792002,-2.49146838402175,1.27875360095283,.602059991327962, , ,.698970004336019,1.14612803567824, , ,1,0, ,.845098040014257,0, , ,.602059991327962,1.17609125905568,1.17609125905568, ,.778151250383644,0,0,0,.263157894736842,.736842105263158,0,0,.526315789473684,.0526315789473684,0,.368421052631579,.0526315789473684,0,0,.210526315789474,.789473684210526,.789473684210526,0,.315789473684211,.0526315789473684
19,陈士渠,0,5,1,4951,699,24024,214,26,53398,.0381696286920417,.00385796077443063,32,13,3,5,148,13,87,6,25,81,12,3,40,111,63,151,10,80,55,0,0,0,0,1,0,1,0,0,0,0,0,2.84447717574568,4.38064531919092,3.69469292633148,0,-2.41364219233105,-1.41828206477665,2.33041377334919,1.41497334797082,1.50514997831991,1.11394335230684,.477121254719662,.698970004336019,2.17026171539496,1.11394335230684,1.93951925261862,.778151250383644,1.39794000867204,1.90848501887865,1.07918124604762,.477121254719662,1.60205999132796,2.04532297878666,1.79934054945358,2.17897694729317,1,1.90308998699194,1.74036268949424,.149532710280374,.0607476635514019,.014018691588785,.0233644859813084,.691588785046729,.0607476635514019,.406542056074766,.0280373831775701,.116822429906542,.378504672897196,.0560747663551402,.014018691588785,.186915887850467,.518691588785047,.294392523364486,.705607476635514,.0467289719626168,.373831775700935,.257009345794393
20,陈志武,0,3,5,200,1055,4305,5,3,3323,.000877745183911016,3.2413194480068E-005,0,4,0,1,0,0,0,3,2,0,0,0,0,2,3,4,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,3.02325245963371,3.63397315578967,2.30102999566398,0,-4.48927816499682,-3.05663154478099,.698970004336019,.477121254719662, ,.602059991327962, ,0, , , ,.477121254719662,.301029995663981, , , , ,.301029995663981,.477121254719662,.602059991327962, , ,.477121254719662,0,.8,0,.2,0,0,0,.6,.4,0,0,0,0,.4,.6,.8,0,0,.6
21,成都王文华,0,5,1,1996,73,6023,4,2,0,6.40199853174946E-005,0,0,2,0,2,0,0,4,0,0,0,0,0,2,0,2,2,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1.86332286012046,3.77981286317058,3.30016053695135,0, ,-4.19368442979407,.602059991327962,.301029995663981, ,.301029995663981, ,.301029995663981, , ,.602059991327962, , , , , ,.301029995663981, ,.301029995663981,.301029995663981,0,.301029995663981,0,0,.5,0,.5,0,0,1,0,0,0,0,0,.5,0,.5,.5,.25,.5,.25
22,成龙,0,1,1,13,2886,928,5,4,17004,.000626755192523259,.00271788956920611,2,0,0,0,3,0,1,0,0,3,1,0,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.46029632675748,2.96754797621886,1.11394335230684,1,-2.56576819309975,-3.2029020593245,.698970004336019,.602059991327962,.301029995663981, , , ,.477121254719662, ,0, , ,.477121254719662,0, ,.698970004336019, , ,0, , , ,.4,0,0,0,.6,0,.2,0,0,.6,.2,0,1,0,0,.2,0,0,0
23,崔永元,0,2,1,676,973,6198,6,4,4446,.000504035317764789,.000176010039343858,3,0,0,0,0,3,0,1,1,1,0,3,3,3,0,4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2.98811284026835,3.79225157190326,2.82994669594164,0,-3.75446255998533,-3.29753903146525,.778151250383644,.602059991327962,.477121254719662, , , , ,.477121254719662, ,0,0,0, ,.477121254719662,.477121254719662,.477121254719662, ,.602059991327962, ,0,0,.5,0,0,0,0,.5,0,.166666666666667,.166666666666667,.166666666666667,0,.5,.5,.5,0,.666666666666667,0,.166666666666667,.166666666666667
24,大S,1,1,4,219,3940,1902,3,3,48824,.000239244625107685,.00289937812654743,0,0,0,2,1,0,0,0,0,3,0,0,1,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3.59549622182557,3.2792105126014,2.34044411484012,1,-2.537695141815,-3.62115781034232,.477121254719662,.477121254719662, , , ,.301029995663981,0, , , , ,.477121254719662, , ,0,.301029995663981, ,.301029995663981, ,0,0,0,0,0,.666666666666667,.333333333333333,0,0,0,0,1,0,0,.333333333333333,.666666666666667,0,.666666666666667,0,.333333333333333,.333333333333333
25,当当李国庆,0,4,1,193,453,4463,55,23,27673,.00439817255454157,.000500094112355125,2,7,24,4,17,1,12,11,12,14,6,0,5,36,14,37,0,18,22,0,0,0,1,0,0,1,0,0,0,0,0,2.65609820201283,3.64962688684053,2.28555730900777,0,-3.30094825840321,-2.3567277358631,1.74036268949424,1.36172783601759,.301029995663981,.845098040014257,1.38021124171161,.602059991327962,1.23044892137827,0,1.07918124604762,1.04139268515823,1.07918124604762,1.14612803567824,.778151250383644, ,.698970004336019,1.55630250076729,1.14612803567824,1.568201724067, ,1.25527250510331,1.34242268082221,.0363636363636364,.127272727272727,.436363636363636,.0727272727272727,.309090909090909,.0181818181818182,.218181818181818,.2,.218181818181818,.254545454545455,.109090909090909,0,.0909090909090909,.654545454545455,.254545454545455,.672727272727273,0,.327272727272727,.4
26,邓飞,0,2,1,2740,504,27783,29,13,4987,.00259011872142276,6.42984301422679E-005,0,3,6,8,12,0,9,7,1,8,4,0,5,22,2,18,1,10,6,0,1,0,0,0,0,1,0,0,0,0,0,2.70243053644553,4.44377913892142,3.43775056282039,0,-4.1917996303242,-2.58668032901639,1.46239799789896,1.11394335230684, ,.477121254719662,.778151250383644,.903089986991944,1.07918124604762, ,.954242509439325,.845098040014257,0,.903089986991944,.602059991327962, ,.698970004336019,1.34242268082221,.301029995663981,1.25527250510331,0,1,.778151250383644,0,.103448275862069,.206896551724138,.275862068965517,.413793103448276,0,.310344827586207,.241379310344828,.0344827586206897,.275862068965517,.137931034482759,0,.172413793103448,.758620689655172,.0689655172413793,.620689655172414,.0344827586206897,.344827586206897,.206896551724138
27,董路,0,4,1,20,832,48494,1,1,1744,.00025821409252902,6.31381849555792E-005,6,0,0,0,0,0,0,2,0,4,0,0,5,1,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2.92012332629072,4.68568800812626,1.30102999566398,0,-4.19970790700361,-3.58802005896901,0,0,.778151250383644, , , , , , ,.301029995663981, ,.602059991327962, , ,.698970004336019,0, ,.602059991327962, , ,0,6,0,0,0,0,0,0,2,0,4,0,0,5,1,0,4,0,0,1
28,杜海涛,0,1,6,793,3180,5856,6,6,15328,.000507308341127096,.000760533134140919,1,0,0,0,4,1,0,0,4,1,3,1,4,0,3,1, , , ,1,0,0,0,0,0,0,0,0,0,0,1,3.50242711998443,3.76760106805034,2.8992731873176,1,-3.11888186029462,-3.2947279969854,.778151250383644,.778151250383644,0, , , ,.602059991327962,0, , ,.602059991327962,0,.477121254719662,0,.602059991327962, ,.477121254719662,0, , , ,.166666666666667,0,0,0,.666666666666667,.166666666666667,0,0,.666666666666667,.166666666666667,.5,.166666666666667,.666666666666667,0,.5,.166666666666667, , , 
29,杜子建,0,3,1,2677,76,7223,32,7,2393,.00459524476861731,3.00416295614179E-005,2,1,1,0,0,28,5,12,2,9,0,4,5,25,2,18,4,6,6,0,0,1,0,0,0,1,0,0,0,0,0,1.88081359228079,3.85871761486029,3.42764837118693,0,-4.52227651340099,-2.33769135069165,1.50514997831991,.845098040014257,.301029995663981,0,0, , ,1.44715803134222,.698970004336019,1.07918124604762,.301029995663981,.954242509439325, ,.602059991327962,.698970004336019,1.39794000867204,.301029995663981,1.25527250510331,.602059991327962,.778151250383644,.778151250383644,.0625,.03125,.03125,0,0,.875,.15625,.375,.0625,.28125,0,.125,.15625,.78125,.0625,.5625,.125,.1875,.1875
30,耳帝,0,6,6,477,682,6601,12,7,38377,.00184668065203074,.000193311351806684,1,0,2,0,2,7,2,0,0,1,1,8,6,4,2,4,5,1,3,0,0,0,0,0,1,0,0,0,0,0,1,2.83378437465648,3.81960973275159,2.67851837904011,0,-3.71374264218331,-2.73360820096049,1.07918124604762,.845098040014257,0, ,.301029995663981, ,.301029995663981,.845098040014257,.301029995663981, , ,0,0,.903089986991944,.778151250383644,.602059991327962,.301029995663981,.602059991327962,.698970004336019,0,.477121254719662,.0833333333333333,0,.166666666666667,0,.166666666666667,.583333333333333,.166666666666667,0,0,.0833333333333333,.0833333333333333,.666666666666667,.5,.333333333333333,.166666666666667,.333333333333333,.416666666666667,.0833333333333333,.25
31,樊建川,0,5,2,569,115,6320,31,19,25257,.00311552107021538,.00114626827615815,3,4,4,2,16,2,7,9,9,4,0,2,27,2,2,25,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2.06069784035361,3.80071707828239,2.75511226639507,0,-2.940713726854,-2.50646930727318,1.49136169383427,1.27875360095283,.477121254719662,.602059991327962,.602059991327962,.301029995663981,1.20411998265592,.301029995663981,.845098040014257,.954242509439325,.954242509439325,.602059991327962, ,.301029995663981,1.43136376415899,.301029995663981,.301029995663981,1.39794000867204, ,0,0,.0967741935483871,.129032258064516,.129032258064516,.0645161290322581,.516129032258065,.0645161290322581,.225806451612903,.290322580645161,.290322580645161,.129032258064516,0,.0645161290322581,.870967741935484,.0645161290322581,.0645161290322581,.806451612903226,0,.032258064516129,.032258064516129
32,范冰冰,1,1,1,219,5577,1447,14,5,156247,.00120976110487087,.00629506570500122,4,0,0,3,7,0,2,1,0,6,5,0,2,9,3,10,0,10,5,1,0,0,0,0,0,1,0,0,0,0,0,3.74640064449156,3.16046853111904,2.34044411484012,1,-2.20099973256636,-2.91730038264194,1.14612803567824,.698970004336019,.602059991327962, , ,.477121254719662,.845098040014257, ,.301029995663981,0, ,.778151250383644,.698970004336019, ,.301029995663981,.954242509439325,.477121254719662,1, ,1,.698970004336019,.285714285714286,0,0,.214285714285714,.5,0,.142857142857143,.0714285714285714,0,.428571428571429,.357142857142857,0,.142857142857143,.642857142857143,.214285714285714,.714285714285714,0,.714285714285714,.357142857142857
33,范以锦,0,2,1,1418,174,3572,13,5,433,.00280321013673704,1.23995720253793E-005,0,1,0,0,12,0,6,3,1,3,0,0,0,1,12,12,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,2.2405492482826,3.55291145021651,3.15167623084705,0,-4.90659330437194,-2.55234434504933,1.11394335230684,.698970004336019, ,0, , ,1.07918124604762, ,.778151250383644,.477121254719662,0,.477121254719662, , , ,0,1.07918124604762,1.07918124604762, ,.778151250383644,0,0,.0769230769230769,0,0,.923076923076923,0,.461538461538462,.230769230769231,.0769230769230769,.230769230769231,0,0,0,.0769230769230769,.923076923076923,.923076923076923,0,.461538461538462,.0769230769230769
34,封新城,0,2,1,887,437,15227,39,17,12536,.00782614001765828,.00111666190959043,0,6,8,6,17,2,6,15,7,5,3,3,1,9,29,21,0,2,7,0,1,0,0,0,0,1,0,0,0,0,0,2.64048143697042,4.18261434773635,2.94792361983173,0,-2.9520782978109,-2.10645238639287,1.5910646070265,1.23044892137827, ,.778151250383644,.903089986991944,.778151250383644,1.23044892137827,.301029995663981,.778151250383644,1.17609125905568,.845098040014257,.698970004336019,.477121254719662,.477121254719662,0,.954242509439325,1.46239799789896,1.32221929473392, ,.301029995663981,.845098040014257,0,.153846153846154,.205128205128205,.153846153846154,.435897435897436,.0512820512820513,.153846153846154,.384615384615385,.179487179487179,.128205128205128,.0769230769230769,.0769230769230769,.0256410256410256,.230769230769231,.743589743589744,.538461538461538,0,.0512820512820513,.179487179487179
35,冯唐,0,3,6,75,891,8068,3,3,712,.00029482193482067,.000241945205559621,0,0,1,0,2,0,2,0,0,1,0,0,1,1,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2.94987770403687,3.90676588954073,1.8750612633917,0,-3.61628297954681,-3.53044020800025,.477121254719662,.477121254719662, , ,0, ,.301029995663981, ,.301029995663981, , ,0, , ,0,0,0,.301029995663981, , ,.301029995663981,0,0,.333333333333333,0,.666666666666667,0,.666666666666667,0,0,.333333333333333,0,0,.333333333333333,.333333333333333,.333333333333333,.666666666666667,0,0,.666666666666667
36,冯小刚,0,1,1,351,2041,766,2,2,10549,.000239521197691444,.000403729460366932,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3.30984300471607,2.8842287696326,2.54530711646582,1,-3.39390955871955,-3.62065604536824,.301029995663981,.301029995663981,0, , , ,0, ,0, , ,0, , ,0, ,0, , ,0,0,.5,0,0,0,.5,0,.5,0,0,.5,0,0,.5,0,.5,0,0,.5,.5
37,芙蓉姐姐,1,6,1,93,432,4332,16,11,10513,.00192436603996553,.00187339610789425,1,4,5,2,4,0,1,1,3,8,0,3,4,10,2,12,0,4,2,0,0,0,0,0,1,1,0,0,0,0,0,2.63548374681491,3.63668844795328,1.96848294855394,0,-2.72737038638086,-2.71571231586515,1.20411998265592,1.04139268515823,0,.602059991327962,.698970004336019,.301029995663981,.602059991327962, ,0,0,.477121254719662,.903089986991944, ,.477121254719662,.602059991327962,1,.301029995663981,1.07918124604762, ,.602059991327962,.301029995663981,.0625,.25,.3125,.125,.25,0,.0625,.0625,.1875,.5,0,.1875,.25,.625,.125,.75,0,.25,.125
38,甘肃梁和平,0,5,2,1321,209,2518,7,5,16,.00151896285696569,9.76485607680907E-007,1,0,0,0,6,0,5,0,1,0,0,1,0,0,7,4,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,2.32014628611105,3.40105572577184,3.12090281761453,0,-6.01033415334984,-2.81845284576333,.845098040014257,.698970004336019,0, , , ,.778151250383644, ,.698970004336019, ,0, , ,0, , ,.845098040014257,.602059991327962,0,.301029995663981,0,.142857142857143,0,0,0,.857142857142857,0,.714285714285714,0,.142857142857143,0,0,.142857142857143,0,0,1,.571428571428571,.142857142857143,.285714285714286,.142857142857143
39,高晓松,0,1,5,23,3939,5804,5,4,30138,.000746936455573992,.000855476735114044,0,1,2,0,0,2,0,2,0,0,1,2,3,2,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,3.59538598080914,3.7637274037657,1.36172783601759,1,-3.0677917967003,-3.12671634352252,.698970004336019,.602059991327962, ,0,.301029995663981, , ,.301029995663981, ,.301029995663981, , ,0,.301029995663981,.477121254719662,.301029995663981, ,.477121254719662, , ,.301029995663981,0,.2,.4,0,0,.4,0,.4,0,0,.2,.4,.6,.4,0,.6,0,0,.4
40,高圆圆,1,1,1,275,4788,1195,5,4,21122,.000474131470204762,.00295796230256847,0,0,0,0,4,1,0,0,1,3,1,0,0,3,2,5,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,3.68015414173437,3.07736790528416,2.43933269383026,1,-2.52900736512304,-3.32410121767686,.698970004336019,.602059991327962, , , , ,.602059991327962,0, , ,0,.477121254719662,0, , ,.477121254719662,.301029995663981,.698970004336019, ,.602059991327962, ,0,0,0,0,.8,.2,0,0,.2,.6,.2,0,0,.6,.4,1,0,.8,0
