36|Introduction to Genetics and Evolution|4.5|5-6 hours/week|Duke University|Medium|coursera
37|Stat2.2x: Introduction to Statistics: Probability|4.5|TBA |UC Berkeley|Easy|edx
38|Introduction to Artificial Intelligence|4.5|Self-paced ||Medium|udacity
39|Grow to Greatness: Smart Growth for Private Businesses, Part I|4.5|4-6 hours/week|University of Virginia|Easy/medium|coursera
40|Fundamentals of Electrical Engineering|4.5|8-10 hours/week|Rice University|Medium/hard|coursera
41|Digital Signal Processing|4.5|8-10 hours/week|Ecole Polytechnique Federale de Lausanne|Hard|coursera
42|College Algebra|4.5|Easy||MATH 008|udacity
43|An Introduction to the U.S. Food System: Perspectives from Public Health|4.5|4-6 hours/week|Johns Hopkins University|Medium|coursera
44|Principles of Public Health|4.5|6-8 hours/week|UC Irvine|Easy/medium|coursera
45|M102: MongoDB for DBAs|4.5|TBA ||Medium|None
46|Exploring Quantum Physics|4.5|5-7 hours/week|University of Maryland, College Park|Hard|coursera
47|Stat2.1X: Introduction to Statistics: Descriptive Statistics|4.5|Jan 2014 |UC Berkeley|Easy/medium|edx
48|Compilers|4.5|8-10 hours/week, 10-20 hours/week with programming assignments|Stanford University|Medium/hard|coursera
49|Fantasy and Science Fiction: The Human Mind, Our Modern World|4.5|8-12 hours/week|University of Michigan|Medium|coursera
50|Introduction to Mathematical Thinking|4.5|8-10 hours/week|Stanford University|Medium/hard|coursera
51|The Ancient Greeks|4.5|3-5 hours/week|Wesleyan University|Easy/medium|coursera
52|Introduction to Astronomy|4.5|6-12 hours/week|Duke University|Medium/hard|coursera
53|Algorithms, Part I|4.5|6-10 hours/week|Princeton University|Medium|coursera
54|Python|4.5|Self-paced ||Easy/medium|codecademy
55|Software Defined Networking|4.5|7-10 hours/week|University of Maryland, College Park|Easy/medium|coursera
56|Synapses, Neurons and Brains |4.4|TBA |Hebrew University of Jerusalem|Easy/medium|coursera
57|Learn to Program: The Fundamentals|4.4|6-8 hours/week|University of Toronto|Easy/medium|coursera
58|Applied Cryptography|4.4|Self-paced ||Medium/hard|udacity
59|7.00x: Introduction to Biology - The Secret of Life|4.4|12 hours/week (14 weeks)|MIT|Medium/hard|edx
60|Energy 101|4.4|5-7 hours/week|Georgia Institute of Technology|Easy/medium|coursera
61|PH207x: Health in Numbers: Quantitative Methods in Clinical &amp; Public Health Research|4.4|TBA |Harvard University|Medium|edx
62|Contraception: Choices, Culture and Consequences|4.4|3-5 hours/week|UCSF|Easy/medium|coursera
63|Design of Computer Programs|4.4|Self-paced ||Hard|udacity
64|Useful Genetics Part 1|4.4|6-8 hours/week|The University of British Columbia|Medium/hard|coursera
65|Design Thinking Action Lab|4.3|TBA |Stanford University|Easy/medium|novoed
66|2.01x: Elements of Structures|4.3|12 hours per week|MIT|Hard|edx
67|HTML &amp; CSS for Beginners|4.3|Self-paced ||Easy/medium|codecademy
68|Control of Mobile Robots|4.3|5-7 hours/week|Georgia Institute of Technology|Medium|coursera
69|A History of the World since 1300|4.3|4-7 hours/week|Princeton University|Medium|coursera
70|Principles of Project Management (ProjMgt)|4.3|TBA ||Hard|open2study
71|Interactive 3D Graphics|4.3|Self-paced ||Hard|udacity
72|Ruby|4.3|Self-paced ||Easy|codecademy
73|Vaccine Trials: Methods and Best Practices|4.3|3-5 hours/week|Johns Hopkins University|Medium|coursera
74|Writing for the Web (WriteWeb)|4.3|TBA ||Easy|open2study
75|Introduction to Digital Sound Design|4.3|3-4 hours/week|Emory University|Medium|coursera
76|Healthcare and Medicine|4.3|Self-paced ||Easy|khanacademy
77|PH278x: Human Health and Global Environmental Change|4.3|TBA |Harvard University|Medium|edx
78|Management for a Competitive Edge (MgtEdge)|4.3|TBA ||Easy|open2study
79|Introductory Algebra Review|4.3|Self-paced ||Easy|udacity
80|Become a Certified Web Developer|4.3|Self-paced ||Medium|udemy
81|Medical Neuroscience|4.3|16-20 hours/week|Duke University|Hard|coursera
82|Clinical Problem Solving|4.3|4-6 hours/week|UCSF|Hard|coursera
83|Equine Nutrition|4.3|3-4 hours/week|University of Edinburgh|Medium|coursera
84|AIDS|4.3|3-4 hours/week|Emory University|Medium|coursera
85|8.MReVx: Mechanics ReView|4.3|10 hours/week|MIT|Hard|edx
86|Essential Chinese for Travelers (1)|4.3|Self-paced ||Easy|udemy
87|Networked Life|4.2|In session|University of Pennsylvania|Easy/medium|coursera
88|Drugs and the Brain|4.2|4-6 hours/week|California Institute of Technology|Medium/hard|coursera
89|Probabilistic Graphical Models|4.2|15-20 hours/week|Stanford University|Hard|coursera
90|6.00x: Introduction to Computer Science and Programming|4.2|TBA |MIT|Medium/hard|edx
91|Programming Languages|4.2|Self-paced ||Medium|udacity
92|Introduction to Guitar|4.2|6-8 hours/week|Berklee College of Music|Medium|coursera
93|CS-169.1x: Software as a Service|4.2|TBA |UC Berkeley|Medium|edx
94|How to Build a Startup|4.2|Self-paced ||Easy|udacity
95|Computer Science 101|4.2|3-5 hours/week|Stanford University|Easy|coursera
96|Algorithms, Part II|4.2|6-10 hours/week|Princeton University|Medium|coursera
97|Introduction to Psychology|4.2|Easy||PSYC001|udacity
98|Chemistry: Concept Development and Application|4.2|4-6 hours/week|Rice University|Medium|coursera
99|Bioelectricity: A Quantitative Approach|4.2|6-9 hours/week|Duke University|Medium|coursera
100|VLSI CAD:  Logic to Layout|4.2|10-12 hours/week|University of Illinois at Urbana-Champaign|Medium/hard|coursera
101|Intermediate Algebra|4.2|8-10 hours/week|UC Irvine|Medium|coursera
102|Data Analysis|4.1|3-5 hours/week|Johns Hopkins University|Medium/hard|coursera
103|Artificial Intelligence for Robotics|4.1|Self-paced ||Medium/hard|udacity
104|8.02x: Electricity and Magnetism|4.1|8-10 hours/week|MIT|Hard|edx
105|The Social Context of Mental Health and Illness|4.1|5-7 hours/week|University of Toronto|Easy/medium|coursera
106|Aboriginal Worldviews and Education|4.1|6-8 hours/week|University of Toronto|Easy/medium|coursera
107|Community Change in Public Health|4.1|5-8 hours/week|Johns Hopkins University|Medium|coursera
108|Human-Computer Interaction|4.1|10-12 hours/week|Stanford University|Easy/medium|coursera
109|Critical Thinking in Global Challenges|4.1|1-2 hours/week|University of Edinburgh|Easy/medium|coursera
110|Introduction to Statistics|4.0|Self-paced ||Easy|udacity
111|Computer Networks|4.0|4a&euro;&ldquo;12 hours/week|University of Washington|Medium|coursera
112|Astrobiology and the Search for Extraterrestrial Life|4.0|3-4 hours/week|University of Edinburgh|Easy|coursera
113|Writing in the Sciences|4.0|4-8 hours/week|Stanford University|Easy/medium|coursera
114|Galaxies and Cosmology|4.0|6-9 hours/week|California Institute of Technology|Medium/hard|coursera
115|3.091x: Introduction to Solid State Chemistry|4.0|12 hours / week (15 weeks)|MIT|Medium/hard|edx
116|Neural Networks for Machine Learning|4.0|7-9 hours/week|University of Toronto|Hard|coursera
117|Natural Language Processing|4.0|8-10 hours/week|Columbia University|Medium/hard|coursera
118|Algorithms|4.0|Self-paced ||Medium/hard|udacity
119|jQuery|4.0|Self-paced ||Easy|codecademy
120|Differential Equations in Action|4.0|Self-paced ||Easy/medium|udacity
121|14.73x: The Challenges of Global Poverty|4.0|TBA |MIT|Easy|edx
122|Think Again: How to Reason and Argue|4.0|5-6 hours/week|Duke University|Medium|coursera
123|The Hardware/Software Interface|3.9|10-15 hours/week|University of Washington|Medium/hard|coursera
124|Algorithms: Design and Analysis, Part 2|3.9|6-10 hours/week|Stanford University|Hard|coursera
125|Stat2.3x: Introduction to Statistics: Inference|3.9|TBA |UC Berkeley|Medium|edx
126|Passion Driven Statistics|3.9|3-4 hours/week|Wesleyan University|Medium|coursera
127|Computational Photography|3.9|5-8 hours/week|Georgia Institute of Technology|Medium|coursera
128|Image and video processing: From Mars to Hollywood with a stop at the hospital|3.9|4 - 6 hours/ week|Duke University|Hard|coursera
129|Animal Behaviour|3.9|6-8 hours/week|University of Melbourne|Medium|coursera
130|Statistics One|3.9|5-8 hours/week|Princeton University|Medium|coursera
131|Automata|3.9|8-10 hours/week|Stanford University|Hard|coursera
132|Microeconomics Principles|3.9|4-12 hours/week|University of Illinois at Urbana-Champaign|Medium|coursera
133|Computational Methods for Data Analysis|3.9|10-12 hours/week|University of Washington|Medium|coursera
134|Web Intelligence and Big Data|3.9|3-4 hours/week|Indian Institute of Technology Delhi|Medium|coursera
135|CS50x: Introduction to Computer Science|3.9|8 problem sets (15 - 20 hours each), 2 quizzes, 1 final project|Harvard University|Medium|edx
136|Introduction to Physics|3.9|Self-paced ||Easy|udacity
137|Principles of Economics for Scientists|3.9|8-10 hours/week|California Institute of Technology|Medium/hard|coursera
138|Epigenetic Control of Gene Expression|3.9|6-8 hours/week|University of Melbourne|Medium/hard|coursera
139|Software Debugging|3.8|Self-paced ||Easy/medium|udacity
140|The Science of Gastronomy|3.8|3-4 hours/week|The Hong Kong University of Science and Technology|Easy|coursera
141|Coding the Matrix: Linear Algebra through Computer Science Applications|3.8|7-10 hours/week|Brown University|Medium/hard|coursera
142|Social Network Analysis|3.8|5-7 hours/week (8-10 if completing additional programming exercises)|University of Michigan|Medium|coursera
143|CS-169.2x: Software as a Service|3.8|12 hours/week (6 weeks)|UC Berkeley|Medium/hard|edx
144|E-learning and Digital Cultures|3.8|5-7 hours/week|University of Edinburgh|Medium|coursera
145|Game Theory|3.8|5-7 hours/week|Stanford University|Medium|coursera
146|Introductory Human Physiology|3.8|6-8 hours/week|Duke University|Medium/hard|coursera
147|Introduction to Philosophy|3.8|1-2 hours/week|University of Edinburgh|Easy/medium|coursera
148|Listening to World Music|3.8|5-7 hours/week|University of Pennsylvania|Easy|coursera
149|Songwriting|3.7|6-8 hours/week|Berklee College of Music|Medium|coursera
150|Introduction to Sustainability|3.7|8-10 hours/week|University of Illinois at Urbana-Champaign|Medium|coursera
151|Machine Learning|3.6|5-7 hours/week|University of Washington|Medium|coursera
152|Exercise Physiology: Understanding the Athlete Within|3.6|4-6 hours/week|University of Melbourne|Medium|coursera
153|Introduction to Programming|3.6|Easy||CS046A|udacity
154|Healthcare Innovation and Entrepreneurship|3.6|5-7 hours/week|Duke University|Medium|coursera
155|Health Informatics in the Cloud|3.6|5-7 hours/week|Georgia Institute of Technology|Hard|coursera
156|Solar Cells, Fuel Cells, &amp; Batteries|3.6|TBA |Stanford University|Medium|None
157|Principles of Macroeconomics|3.6|6-8 hours/week|University of Melbourne|Medium|coursera
158|Spanish for Beginners|3.6|Self-paced ||Easy|udemy
159|Science, Technology, and Society in China I: Basic Concepts|3.6|3-5 hours/week|The Hong Kong University of Science and Technology|Medium|coursera
160|CS169.1x: Software as a Service|3.6|In session|UC Berkeley|Medium|edx
161|The Massey Method: Learn Spanish from a Former NSA Agent|3.6|Self-paced ||Medium|udemy
162|Introduction to Computational Finance and Financial Econometrics|3.6|In session|University of Washington|Medium|coursera
163|Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship|3.6|5-7 hours/week|University of Maryland, College Park|Medium/hard|coursera
164|M101J: MongoDB for Java Developers|3.6|10 hours / week||Medium/hard|None
165|Jazz Improvisation|3.6|6-8 hours/week|Berklee College of Music|Medium/hard|coursera
166|Vaccines|3.6|2 hours/week|University of Pennsylvania|Easy|coursera
167|Heterogeneous Parallel Programming|3.6|6-8 hours/week|University of Illinois at Urbana-Champaign|Easy/medium|coursera
168|Securing Digital Democracy|3.5|2-3 hours/week|University of Michigan|Easy|coursera
169|Learning From Data|3.5|Self-paced |California Institute of Technology|Medium/hard|None
170|A Crash Course on Creativity|3.5|TBA |Stanford University|Easy/medium|novoed
171|Computing for Data Analysis|3.5|3-5 hours/week|Johns Hopkins University|Medium|coursera
172|Technology Entrepreneurship Part 1|3.4|In session|Stanford University|Medium|novoed
173|Designing a New Learning Environment|3.4|TBA |Stanford University|Easy/medium|novoed
174|Nutrition for Health Promotion and Disease Prevention|3.4|4-6 hours/week|UCSF|Easy/medium|coursera
175|Organizational Analysis|3.4|In session|Stanford University|Medium|coursera
176|Introduction to Finance|3.3|6-8 hours/week|University of Michigan|Medium|coursera
177|Big Data for Better Performance  (BigData)|3.3|TBA ||Easy|open2study
178|JavaScript|3.3|Self-paced ||Easy|codecademy
179|Computational Neuroscience|3.3|4-6 hours/week|University of Washington|Hard|coursera
180|Becoming Human: Anthropology (BeHuman)|3.3|TBA ||Easy|open2study
181|Disaster Preparedness|3.3|2-4 hours/week|University of Pittsburgh|Easy|coursera
182|Generating the Wealth of Nations|3.3|6-8 hours/week|University of Melbourne|Easy|coursera
183|Scientific Computing|3.3|10-15 hours/week|University of Washington|Medium/hard|coursera
184|Artificial Intelligence Planning|3.3|3-8 hours/week|University of Edinburgh|Medium|coursera
185|Introduction to Data Science|3.2|8-10 hours/week|University of Washington|Medium|coursera
186|The Eurozone Crisis|3.2|Self-paced ||Easy|mruniversity
187|Mathematical Biostatistics Boot Camp 1|3.2|3-5 hours/week|Johns Hopkins University|Medium|coursera
188|Computational Investing, Part I|3.2|8-12 hours/week|Georgia Institute of Technology|Medium|coursera
189|CB22x: The Ancient Greek Hero|3.1|TBA |Harvard University|Easy/medium|edx
190|Introduction to Systems Biology|3.1|6-8 hours/week|Mount Sinai School of Medicine|Medium/hard|coursera
191|A Look at Nuclear Science and Technology|3.1|4-8 hours/week|University of Pittsburgh|Easy/medium|coursera
192|Property and Liability: An Introduction to Law and Economics|3.0|2-4 hours/week|Wesleyan University|Easy/medium|coursera
193|Physics|3.0|Self-paced ||Medium|khanacademy
194|Fundamentals of Pharmacology|3.0|2-6 hours/week|University of Pennsylvania|Easy|coursera
195|High Performance Scientific Computing|3.0|5-10 hours/week|University of Washington|Medium|coursera
196|Poetry: What It Is, and How to Understand It|3.0|Self-paced ||Medium|udemy
197|Principles of Obesity Economics|2.9|3-5 hours/week|Johns Hopkins University|Easy|coursera
198|Software Testing|2.9|Self-paced ||Easy|udacity
199|Science from Superheroes to Global Warming|2.9|6-9 hours/week|UC Irvine|Easy|coursera
200|Introduction to Logic|2.8|5-7 hours/week|Stanford University|Medium|coursera
201|Health for All Through Primary Health Care|2.7|3-4 hours/week|Johns Hopkins University|Easy|coursera
202|Teaching Adult Learners (WPTrain)|2.7|TBA ||Easy|open2study
203|Grow to Greatness: Smart Growth for Private Businesses, Part II|2.7|4-6 hours/week|University of Virginia|Easy|coursera
204|Introduction to Music Production|2.7|6-8 hours/week|Berklee College of Music|Medium|coursera
205|Preparation for Introductory Biology: DNA to Organisms|2.4|8-10 hours/week|UC Irvine|Hard|coursera
206|Experimental Genome Science|2.4|6-8 hours/week|University of Pennsylvania|Hard|coursera
207|Computer Architecture|2.2|5-8 hours/week|Princeton University|Hard|coursera
208|Fundamentals of Online Education: Planning and Application|2.1|5-7 hours/week|Georgia Institute of Technology|Easy/medium|coursera
209|Information Security and Risk Management in Context|2.0|4-6 hours/week|University of Washington|Easy/medium|coursera
210|Neuroethics|1.9|4-6 hours/week|University of Pennsylvania|Easy|coursera
211|Technology Entrepreneurship Part 2|1.9|TBA |Stanford University|Easy|novoed
212|HTML5 Game Development|1.8|Self-paced ||Medium|udacity
213|A New History for a New China, 1700-2000: New Data and New Methods, Part 1|1.4|3-4 hours/week|The Hong Kong University of Science and Technology|Medium/hard|coursera
214|Sports and Society|1.3|3-5 hours/week|Duke University|Easy|coursera
215|Pre-Calculus||10-12 hours/week|UC Irvine|-|coursera
216|Mobile Web Development||Self-paced ||-|udacity
217|Introduction to Enterprise Architecture (EntrArch)||TBA |enterprise-architects|-|open2study
218|Education in a Changing World (EduChnge)||TBA |open2study-industry|-|open2study
219|Computer Security||5-7 hours/week|Stanford University|-|coursera
220|Strategic Management (StratMgt)||TBA ||-|open2study
221|8.01x: Classical Mechanics||12 hours per week|MIT|-|edx
222|3.086x: Innovation and Commercialization||12 hours/week|MIT|-|edx
223|EasyDSLR Digital Photography Course for Beginners||Self-paced ||-|udemy
224|The Design of Everyday Things||Self-paced ||-|udacity
225|Networks: Friends, Money, and Bytes||8 hours/week|Princeton University|-|coursera
226|MCB80.1x: Fundamentals of Neuroscience, Part I||Oct 31 2013 |Harvard University|-|edx
227|Introduction to Business in Asia (BusAsia)||TBA |griffith-university|-|open2study
228|Astronomy: Discovering the Universe (IntAstro)||TBA |curtin-university|-|open2study
229|Build a Simple Ruby on Rails Application||Self-paced ||-|treehouse
230|Project Management for Business Professionals||Oct 21 2013 |Shaping Tomorrow|-|canvas
231|Cryptography II||6-8 hours/week|Stanford University|-|coursera
232|Creative, Serious and Playful Science of Android Apps||5-10 hours/week|University of Illinois at Urbana-Champaign|-|coursera
233|An Introduction to Computer Networks||TBA |Stanford University|-|None
234|Climate Change||6-8 hours/week|University of Melbourne|-|coursera
235|U.S. Criminal Law||TBA |Flat World Knowledge|-|canvas
236|4.605x: A Global History of Architecture: Part 1||At least 5 hours per week (12 weeks)|MIT|-|edx
237|CS-184.1x: Foundations of Computer Graphics||12 hours/week|UC Berkeley|-|edx
238|Hot Studio&#39;s Open Architecture Network: Start to Finish||Self-paced ||-|lynda
239|7 Day Yoga Routine: Increase Energy &amp; Balance Your Chakras||Self-paced ||-|udemy
240|BIO465X: Neuronal Dynamics - Computational Neuroscience of Single Neurons||6 hrs per week. (7 weeks)|EPFLx|-|edx
241|How to Create a Passive Income Teaching Online for Beginners||Self-paced ||-|udemy
242|Statistics in Education for Mere Mortals||TBA |Canvas Network|-|canvas
243|Code Year||Self-paced ||-|codecademy
244|First-Year University Spanish (Spanish MOOC)||TBA ||-|None
245|HTML5: Managing Browser History||Self-paced ||-|lynda
246|Chemistry||Self-paced ||-|khanacademy
247|Core Finance||Self-paced ||-|khanacademy
248|Art History||Self-paced ||-|khanacademy
249|Diagnosing the Financial Health of a Business (FinHlth)||TBA |macquarie-graduate-school-of-management|-|open2study
250|Nanotechnology: The Basics||4-8 hours/week|Rice University|-|coursera
251|Sustainable Energy Innovation||In session|Clemson University|-|canvas
252|ET3034TUx: Solar Energy||8 hours/week (8 weeks)|Delft University of Technology|-|edx
253|Food, Nutrition &amp; Your Health (FoodHlth)||TBA ||-|open2study
254|Financial Planning (FinPlan)||TBA ||-|open2study
255|SOC108x: Introduction to Global Sociology||Sep 01 2014 |Wellesley College|-|edx
256|24.00x: Introduction to Philosophy: God, Knowledge and Consciousness||At least 5 hours per week (11 weeks)|MIT|-|edx
257|UT.2.01x: Ideas of the Twentieth Century||TBA |The University of Texas at Austin|-|edx
258|Introduction to Writing: Science Fiction and Fantasy||Oct 21 2013 |Arizona State University|-|canvas
259|Introduction to Parallel Programming||Self-paced ||-|udacity
260|Mixing a Short Film with Pro Tools||Self-paced ||-|lynda
261|Learning Windows Movie Maker 2||Self-paced ||-|lynda
262|Mac OS X Mountain Lion Essential Training||Self-paced ||-|lynda
263|Insights from a Business Coach||Self-paced ||-|lynda
264|Social Media Marketing for Startups||Self-paced ||-|udemy
265|Raising Money for Startups||Self-paced ||-|udemy
266|Beginner PHP and MySQL Tutorial||Self-paced ||-|udemy
267|Novel Writing Workshop||Self-paced ||-|udemy
268|Computer Literacy for Windows||Self-paced ||-|lynda
269|How to Create an Awesome Demo Video for Your Business||Self-paced ||-|udemy
270|Prepare For the Future - Get the Best Education You Can!||Self-paced ||-|udemy
271|Linear Algebra||Self-paced ||-|khanacademy
272|Cosmology and Astronomy||Self-paced ||-|khanacademy
273|Basic Behavioral Neurology||TBA |University of Pennsylvania|-|coursera
274|Organic Chemistry||Self-paced ||-|khanacademy
275|Programming Java for Beginners - The Ultimate Java Tutorial||Self-paced ||-|udemy
276|Great Economists: Classical Economics and its Forerunners||Self-paced ||-|mruniversity
277|History||Self-paced ||-|khanacademy
278|American Civics||Self-paced ||-|khanacademy
279|Economics of the Media||Self-paced ||-|mruniversity
280|Google Boost your Start Up - how I get 1,000 visitors a day||Self-paced ||-|udemy
281|HDS1544.1x: Early Christianity: The Letters of Paul||Jan 06 2014 |Harvard University|-|edx
282|CS1156x: Learning From Data||10 hours per week.|CaltechX|-|edx
283|Enhancing a Simple PHP Application||Self-paced ||-|treehouse
284|Moodle 2.1 Essential Training for Teachers||Self-paced ||-|lynda
285|How to Market Your Business||Self-paced ||-|treehouse
286|Build a Simple Website||Self-paced ||-|treehouse
287|How to Start a Business||Self-paced ||-|treehouse
288|Database Foundations||Self-paced ||-|treehouse
289|Excel 2007: Business Statistics||Self-paced ||-|lynda
290|GSE1x: Unlocking the Immunity to Change: A New Approach to Personal Improvement||Jan 20 2014 |Harvard University|-|edx
291|Introductory Organic Chemistry - Part 1||8-10 hours/week|University of Illinois at Urbana-Champaign|-|coursera
292|Financial Literacy (FinLitrc)||TBA ||-|open2study
293|Boost Your Income From Home-How To Start An Online Business||Self-paced ||-|udemy
294|Foundations of Psychology (IntroPsy)||TBA ||-|open2study
295|ELEC301x: Discrete Time Signals and Systems||8 hours per week. (10 weeks)|RiceX|-|edx
296|In-Memory Data Management||TBA |Hasso Plattner Institut|-|None
297|Accountable Talk: Conversation that Works||3-5 hours/week|University of Pittsburgh|-|coursera
298|RoboHelp 9 HTML Essential Training||Self-paced ||-|lynda
299|Java Essential Training||Self-paced ||-|lynda
300|Network Analysis in Systems Biology||6-8 hours/week|Mount Sinai School of Medicine|-|coursera
301|Learning C# .NET - Programming for Beginners.||Self-paced ||-|udemy
302|CS-169.1x: Software as a Service||TBA |UC Berkeley|-|edx
303|16.110x: Flight Vehicle Aerodynamics||12 hours per week. (14 weeks)|MIT|-|edx
304|SPU27x: Science &amp; Cooking: From Haute Cuisine to Soft Matter Science||TBA |Harvard University|-|edx
305|ID:001: Chemistry of Life||Apr 23 2014 |Kyoto University|-|edx
306|UT.1.01x: Energy 101||TBA |The University of Texas at Austin|-|edx
307|PHYS102x: Electricity &amp; Magnetism||10 hours / week  (10 weeks)|RiceX|-|edx
308|Facebook Marketing and Advertisement Strategies for Business||Self-paced ||-|udemy
309|Introduction to Databases||TBA |Stanford University|-|coursera
310|Foundations of Programming: Object-Oriented Design||Self-paced ||-|lynda
311|Java Advanced Training||Self-paced ||-|lynda
312|Digital Marketing Management||Self-paced ||-|udemy
313|Get Momentum: Start A Business You Love||Self-paced ||-|udemy
314|Ethics and Values in a Multicultural World||Self-paced |Canvas Network|-|canvas
315|Lean Finance for Startups||Self-paced ||-|udemy
316|Social Media for Business||Self-paced ||-|udemy
317|Accounting Cycle: The Foundation of Business Measurement and Reporting||TBA |Utah State University|-|canvas
318|The Piano Revolution! - The fastest way to learn piano||Self-paced ||-|udemy
319|Email Marketing Basics||Self-paced ||-|lynda
320|2012 SBIFF Directors&#39; Panel:  Directors on Directing||Self-paced ||-|lynda
321|Job Search Strategies||Self-paced ||-|lynda
322|lynda.com Presents: AIGA||Self-paced ||-|lynda
323|Photoshop Elements 9: Scanning and Restoring Photos||Self-paced ||-|lynda
324|04332960X: Music in the 20th Century||In session|PekingX|-|edx
325|Fast Track To Microsoft Powerpoint||Self-paced ||-|udemy
326|Building iPhone Apps For Absolute Beginners||Self-paced ||-|udemy
327|Flash Professional: Creative Cloud Updates||Self-paced ||-|lynda
328|Flash Professional CS5: Code Snippets and Templates in Depth||Self-paced ||-|lynda
329|Production Rendering Techniques in CINEMA 4D||Self-paced ||-|lynda
330|InfoPath 2007 Essential Training||Self-paced ||-|lynda
331|Learning Flash MX||Self-paced ||-|lynda
332|VFX Techniques: Building Replacement with After Effects||Self-paced ||-|lynda
333|WordPress.com Essential Training||Self-paced ||-|lynda
334|Dynamic Dreamweaver Websites: Creating and Validating Forms||Self-paced ||-|lynda
335|Nuke 6.3 New Features||Self-paced ||-|lynda
336|Design in Motion||Self-paced ||-|lynda
337|Designing a Poster||Self-paced ||-|lynda
338|Introducing the JavaScript Language||Self-paced ||-|lynda
339|Ableton Live 8 Essential Training||Self-paced ||-|lynda
340|iPhone and iPod touch iOS 6 Essential Training||Self-paced ||-|lynda
341|Microsoft Excel 2010 Course Beginners/ Intermediate Training||Self-paced ||-|udemy
342|Outlook Web App (OWA) 2010 Essential Training||Self-paced ||-|lynda
343|Restoring Photos with Photoshop CS6||Self-paced ||-|lynda
344|Bento Essential Training||Self-paced ||-|lynda
345|WordPress.com 2.7 Essential Training||Self-paced ||-|lynda
346|Final Cut Pro 5 Beyond the Basics||Self-paced ||-|lynda
347|Dreamweaver CS6 Essential Training||Self-paced ||-|lynda
348|Photoshop CS3 New Features||Self-paced ||-|lynda
349|Photoshop CS6 New Features: Brushes||Self-paced ||-|lynda
350|Advanced Excel Training - Online Excel Course ||Self-paced ||-|udemy
351|Fun With Brazilian Portuguese||Self-paced ||-|udemy
352|Troika&#39;s ABC Brand Campaign: Start to Finish||Self-paced ||-|lynda
353|tokidoki, Character Illustrator||Self-paced ||-|lynda
354|InDesign CS2 Professional Typography||Self-paced ||-|lynda
