id	starname	议题	发文数	总评论数	总转发数	总点赞数
33	郎咸平	公权政策	1	306	107	317
33	郎咸平	法律案例	0	0	0	0
33	郎咸平	社会矛盾	0	0	0	0
33	郎咸平	灾难救助	0	0	0	0
33	郎咸平	涉外涉军	0	0	0	0
34	孔庆东	国家议程	0	0	0	0
34	孔庆东	公权政策	0	0	0	0
34	孔庆东	法律案例	0	0	0	0
34	孔庆东	社会矛盾	0	0	0	0
34	孔庆东	灾难救助	0	0	0	0
34	孔庆东	涉外涉军	7	229	1711	461
35	孔二狗	国家议程	0	0	0	0
35	孔二狗	公权政策	0	0	0	0
35	孔二狗	法律案例	0	0	0	0
35	孔二狗	社会矛盾	0	0	0	0
35	孔二狗	灾难救助	0	0	0	0
35	孔二狗	涉外涉军	0	0	0	0
36	蒋方舟	国家议程	4	1839	4336	14422
36	蒋方舟	公权政策	1	379	12559	461
36	蒋方舟	法律案例	1	124	507	70
36	蒋方舟	社会矛盾	3	1227	1835	1363
36	蒋方舟	灾难救助	7	1023	3271	2349
36	蒋方舟	涉外涉军	1	129	135	442
37	加藤嘉一	国家议程	0	0	0	0
37	加藤嘉一	公权政策	0	0	0	0
37	加藤嘉一	法律案例	0	0	0	0
37	加藤嘉一	社会矛盾	0	0	0	0
37	加藤嘉一	灾难救助	1	508	950	319
37	加藤嘉一	涉外涉军	0	0	0	0
38	加措活佛-慈爱基金	国家议程	2	162	480	2103
38	加措活佛-慈爱基金	公权政策	0	0	0	0
38	加措活佛-慈爱基金	法律案例	0	0	0	0
38	加措活佛-慈爱基金	社会矛盾	1	175	696	1190
38	加措活佛-慈爱基金	灾难救助	25	18962	170030	30159
38	加措活佛-慈爱基金	涉外涉军	0	0	0	0
39	侯宁	国家议程	84	3241	5756	11697
39	侯宁	公权政策	4	129	147	168
39	侯宁	法律案例	0	0	0	0
39	侯宁	社会矛盾	12	555	544	590
39	侯宁	灾难救助	1	40	59	33
39	侯宁	涉外涉军	146	7617	13821	11573
40	贺卫方	国家议程	0	0	0	0
40	贺卫方	公权政策	7	3393	7804	900
40	贺卫方	法律案例	37	13598	45583	4630
40	贺卫方	社会矛盾	0	0	0	0
40	贺卫方	灾难救助	8	2777	5743	827
40	贺卫方	涉外涉军	1	172	381	31
41	何兵	国家议程	2	276	738	422
41	何兵	公权政策	6	599	1037	435
41	何兵	法律案例	39	4595	15404	6398
41	何兵	社会矛盾	13	1239	4723	1813
41	何兵	灾难救助	0	0	0	0
41	何兵	涉外涉军	6	639	1355	490
42	韩志国	国家议程	0	0	0	0
42	韩志国	公权政策	2	1284	7146	12
42	韩志国	法律案例	0	0	0	0
42	韩志国	社会矛盾	0	0	0	0
42	韩志国	灾难救助	0	0	0	0
42	韩志国	涉外涉军	0	0	0	0
43	韩寒	国家议程	0	0	0	0
43	韩寒	公权政策	0	0	0	0
43	韩寒	法律案例	0	0	0	0
43	韩寒	社会矛盾	1	8987	50051	75931
43	韩寒	灾难救助	4	74423	472953	87133
43	韩寒	涉外涉军	0	0	0	0
44	哈_李敖	国家议程	0	0	0	0
44	哈_李敖	公权政策	1	1077	531	2127
44	哈_李敖	法律案例	0	0	0	0
44	哈_李敖	社会矛盾	1	552	455	1524
44	哈_李敖	灾难救助	0	0	0	0
44	哈_李敖	涉外涉军	5	2431	2017	7192
45	冯唐	国家议程	0	0	0	0
45	冯唐	公权政策	0	0	0	0
45	冯唐	法律案例	1	112	238	25
45	冯唐	社会矛盾	0	0	0	0
45	冯唐	灾难救助	2	240	474	404
45	冯唐	涉外涉军	0	0	0	0
46	杜子建	国家议程	2	109	255	250
46	杜子建	公权政策	1	99	67	95
46	杜子建	法律案例	1	18	23	18
46	杜子建	社会矛盾	0	0	0	0
46	杜子建	灾难救助	0	0	0	0
46	杜子建	涉外涉军	28	778	2048	1280
47	陈志武	国家议程	0	0	0	0
47	陈志武	公权政策	4	938	2449	275
47	陈志武	法律案例	0	0	0	0
47	陈志武	社会矛盾	1	265	874	158
47	陈志武	灾难救助	0	0	0	0
47	陈志武	涉外涉军	0	0	0	0
48	巴曙松	国家议程	8	266	1879	2347
48	巴曙松	公权政策	0	0	0	0
48	巴曙松	法律案例	0	0	0	0
48	巴曙松	社会矛盾	0	0	0	0
48	巴曙松	灾难救助	0	0	0	0
48	巴曙松	涉外涉军	4	77	487	309
49	老徐时评	国家议程	0	0	0	0
49	老徐时评	公权政策	0	0	0	0
49	老徐时评	法律案例	5	101	303	231
49	老徐时评	社会矛盾	5	95	166	96
49	老徐时评	灾难救助	0	0	0	0
49	老徐时评	涉外涉军	2	47	53	22
50	朱永新	国家议程	1	6	7	91
50	朱永新	公权政策	1	3	5	17
50	朱永新	法律案例	0	0	0	0
50	朱永新	社会矛盾	0	0	0	0
50	朱永新	灾难救助	6	40	119	50
50	朱永新	涉外涉军	0	0	0	0
51	智化人生	国家议程	0	0	0	0
51	智化人生	公权政策	13	15	25	5
51	智化人生	法律案例	2	1	0	1
51	智化人生	社会矛盾	0	0	0	0
51	智化人生	灾难救助	9	3	18	0
51	智化人生	涉外涉军	0	0	0	0
52	御史在途	国家议程	7	173	141	442
52	御史在途	公权政策	18	936	1334	441
52	御史在途	法律案例	32	2612	3785	364
52	御史在途	社会矛盾	12	752	1806	265
52	御史在途	灾难救助	25	1520	3919	1477
52	御史在途	涉外涉军	3	97	118	67
53	延参法师	国家议程	13	918	817	15279
53	延参法师	公权政策	0	0	0	0
53	延参法师	法律案例	0	0	0	0
53	延参法师	社会矛盾	1	69	526	286
53	延参法师	灾难救助	1	656	1269	4377
53	延参法师	涉外涉军	13	3780	8740	37493
54	庹祖海TuoZuhai	国家议程	13	30	48	68
54	庹祖海TuoZuhai	公权政策	19	14	29	31
54	庹祖海TuoZuhai	法律案例	9	5	13	6
54	庹祖海TuoZuhai	社会矛盾	17	15	27	27
54	庹祖海TuoZuhai	灾难救助	16	979	5018	1933
54	庹祖海TuoZuhai	涉外涉军	13	14	33	16
55	盘锦周恩义	国家议程	35	19	42	295
55	盘锦周恩义	公权政策	4	6	3	6
55	盘锦周恩义	法律案例	6	172	283	6
55	盘锦周恩义	社会矛盾	5	13	18	4
55	盘锦周恩义	灾难救助	102	432	1240	520
55	盘锦周恩义	涉外涉军	5	2	4	13
56	罗援	国家议程	10	2460	1855	3920
56	罗援	公权政策	0	0	0	0
56	罗援	法律案例	0	0	0	0
56	罗援	社会矛盾	0	0	0	0
56	罗援	灾难救助	3	1553	695	804
56	罗援	涉外涉军	3	682	1013	1819
57	刘五一	国家议程	0	0	0	0
57	刘五一	公权政策	2	3	4	9
57	刘五一	法律案例	0	0	0	0
57	刘五一	社会矛盾	0	0	0	0
57	刘五一	灾难救助	0	0	0	0
57	刘五一	涉外涉军	0	0	0	0
58	林炎志	国家议程	1	10	6	20
58	林炎志	公权政策	0	0	0	0
58	林炎志	法律案例	0	0	0	0
58	林炎志	社会矛盾	0	0	0	0
58	林炎志	灾难救助	2	12	8	14
58	林炎志	涉外涉军	0	0	0	0
59	雷滚石1958	国家议程	0	0	0	0
59	雷滚石1958	公权政策	0	0	0	0
59	雷滚石1958	法律案例	0	0	0	0
59	雷滚石1958	社会矛盾	0	0	0	0
59	雷滚石1958	灾难救助	3	49	228	27
59	雷滚石1958	涉外涉军	0	0	0	0
60	昆明市长	国家议程	3	58	93	218
60	昆明市长	公权政策	0	0	0	0
60	昆明市长	法律案例	0	0	0	0
60	昆明市长	社会矛盾	0	0	0	0
60	昆明市长	灾难救助	7	5205	5028	3650
60	昆明市长	涉外涉军	0	0	0	0
61	佳桐	国家议程	3	5	10	17
61	佳桐	公权政策	0	0	0	0
61	佳桐	法律案例	0	0	0	0
61	佳桐	社会矛盾	0	0	0	0
61	佳桐	灾难救助	0	0	0	0
61	佳桐	涉外涉军	2	3	9	10
62	胡德平	国家议程	0	0	0	0
62	胡德平	公权政策	0	0	0	0
62	胡德平	法律案例	0	0	0	0
62	胡德平	社会矛盾	0	0	0	0
62	胡德平	灾难救助	0	0	0	0
62	胡德平	涉外涉军	1	834	4360	187
63	甘肃梁和平	国家议程	1	0	1	1
63	甘肃梁和平	公权政策	0	0	0	0
63	甘肃梁和平	法律案例	0	0	0	0
63	甘肃梁和平	社会矛盾	0	0	0	0
63	甘肃梁和平	灾难救助	5	3	12	6
63	甘肃梁和平	涉外涉军	0	0	0	0
64	樊建川	国家议程	3	206	205	549
64	樊建川	公权政策	4	715	1376	233
64	樊建川	法律案例	4	1655	10584	428
64	樊建川	社会矛盾	2	137	989	699
64	樊建川	灾难救助	16	2658	11812	2267
64	樊建川	涉外涉军	2	167	191	251
65	成都王文华	国家议程	0	0	0	0
65	成都王文华	公权政策	2	1	0	1
65	成都王文华	法律案例	0	0	0	0
65	成都王文华	社会矛盾	1	0	0	0
65	成都王文华	灾难救助	0	0	0	0
65	成都王文华	涉外涉军	0	0	0	0
66	陈士渠	国家议程	32	64697	32934	220581
66	陈士渠	公权政策	13	1052	1871	754
66	陈士渠	法律案例	3	85	222	19
66	陈士渠	社会矛盾	5	221	265	268
66	陈士渠	灾难救助	148	3270	16615	1872
66	陈士渠	涉外涉军	13	428	1491	1572
67	陈鸣明	国家议程	0	0	0	0
67	陈鸣明	公权政策	4	825	660	218
67	陈鸣明	法律案例	0	0	0	0
67	陈鸣明	社会矛盾	0	0	0	0
67	陈鸣明	灾难救助	39	891	1853	465
67	陈鸣明	涉外涉军	0	0	0	0
68	陈东有	国家议程	2	2	1	1
68	陈东有	公权政策	0	0	0	0
68	陈东有	法律案例	0	0	0	0
68	陈东有	社会矛盾	0	0	0	0
68	陈东有	灾难救助	12	30	84	12
68	陈东有	涉外涉军	1	1	4	2
69	曹凤岐	国家议程	2	16	46	45
69	曹凤岐	公权政策	0	0	0	0
69	曹凤岐	法律案例	0	0	0	0
69	曹凤岐	社会矛盾	0	0	0	0
69	曹凤岐	灾难救助	0	0	0	0
69	曹凤岐	涉外涉军	0	0	0	0
70	北京王惠	国家议程	5	33	54	315
70	北京王惠	公权政策	0	0	0	0
70	北京王惠	法律案例	0	0	0	0
70	北京王惠	社会矛盾	2	5	8	5
70	北京王惠	灾难救助	14	154	464	142
70	北京王惠	涉外涉军	1	2	2	13
71	鞍钢郭明义	国家议程	16	103	461	1237
71	鞍钢郭明义	公权政策	8	90	146	137
71	鞍钢郭明义	法律案例	1	3	3	4
71	鞍钢郭明义	社会矛盾	2	72	111	57
71	鞍钢郭明义	灾难救助	73	2355	6822	4019
71	鞍钢郭明义	涉外涉军	6	53	185	386
72	胡舒立	国家议程	25	271	422	972
72	胡舒立	公权政策	81	2444	6519	1201
72	胡舒立	法律案例	16	392	2542	1658
72	胡舒立	社会矛盾	16	317	3857	1254
72	胡舒立	灾难救助	109	1541	10998	2817
72	胡舒立	涉外涉军	55	632	2306	464
73	罗昌平	国家议程	7	776	3632	1735
73	罗昌平	公权政策	64	18689	37540	8020
73	罗昌平	法律案例	49	11036	39613	7460
73	罗昌平	社会矛盾	42	5880	17749	14396
73	罗昌平	灾难救助	64	13450	53691	15700
73	罗昌平	涉外涉军	4	126	677	187
74	老沉	国家议程	24	1068	3966	2847
74	老沉	公权政策	108	5965	18525	2473
74	老沉	法律案例	29	2264	21484	8320
74	老沉	社会矛盾	32	2641	6435	2022
74	老沉	灾难救助	230	9993	53713	7866
74	老沉	涉外涉军	138	6238	22188	3859
75	王克勤	国家议程	0	0	0	0
75	王克勤	公权政策	5	208	2677	143
75	王克勤	法律案例	13	714	3474	368
75	王克勤	社会矛盾	29	2816	12063	5056
75	王克勤	灾难救助	47	2543	17250	2458
75	王克勤	涉外涉军	3	55	138	150
76	朱军99	国家议程	0	0	0	0
76	朱军99	公权政策	0	0	0	0
76	朱军99	法律案例	0	0	0	0
76	朱军99	社会矛盾	0	0	0	0
76	朱军99	灾难救助	3	1807	1233	1854
76	朱军99	涉外涉军	0	0	0	0
77	朱丹	国家议程	0	0	0	0
77	朱丹	公权政策	0	0	0	0
77	朱丹	法律案例	0	0	0	0
77	朱丹	社会矛盾	0	0	0	0
77	朱丹	灾难救助	7	1519	4725	1147
77	朱丹	涉外涉军	0	0	0	0
78	赵普	国家议程	3	389	86	1185
78	赵普	公权政策	1	93	187	40
78	赵普	法律案例	2	169	553	283
78	赵普	社会矛盾	1	114	184	53
78	赵普	灾难救助	19	1972	7936	2645
78	赵普	涉外涉军	0	0	0	0
79	张泉灵	国家议程	0	0	0	0
79	张泉灵	公权政策	1	455	1802	169
79	张泉灵	法律案例	0	0	0	0
79	张泉灵	社会矛盾	0	0	0	0
79	张泉灵	灾难救助	7	6697	18438	8554
79	张泉灵	涉外涉军	0	0	0	0
80	袁莉wsj	国家议程	1	175	249	170
80	袁莉wsj	公权政策	79	12030	27377	2920
80	袁莉wsj	法律案例	37	5261	17905	2135
80	袁莉wsj	社会矛盾	15	2461	9906	7059
80	袁莉wsj	灾难救助	98	5466	24430	4457
80	袁莉wsj	涉外涉军	9	815	2496	141
81	袁国宝	国家议程	11	275	571	267
81	袁国宝	公权政策	50	1300	4265	492
81	袁国宝	法律案例	92	1073	6992	902
81	袁国宝	社会矛盾	75	1710	7994	2587
81	袁国宝	灾难救助	61	640	4888	788
81	袁国宝	涉外涉军	8	85	202	176
82	于嘉	国家议程	7	1069	562	9230
82	于嘉	公权政策	0	0	0	0
82	于嘉	法律案例	2	1318	4026	951
82	于嘉	社会矛盾	0	0	0	0
82	于嘉	灾难救助	4	342	4578	1701
82	于嘉	涉外涉军	0	0	0	0
83	尹鸿	国家议程	0	0	0	0
83	尹鸿	公权政策	0	0	0	0
83	尹鸿	法律案例	3	48	162	84
83	尹鸿	社会矛盾	2	22	107	85
83	尹鸿	灾难救助	0	0	0	0
83	尹鸿	涉外涉军	5	29	115	95
84	叶檀	国家议程	13	2546	2700	5405
84	叶檀	公权政策	6	1411	1186	1822
84	叶檀	法律案例	13	3703	6624	7651
84	叶檀	社会矛盾	21	4579	6357	8585
84	叶檀	灾难救助	32	4997	9138	9240
84	叶檀	涉外涉军	12	2211	1192	2783
85	杨毅	国家议程	1	167	205	1689
85	杨毅	公权政策	0	0	0	0
85	杨毅	法律案例	0	0	0	0
85	杨毅	社会矛盾	0	0	0	0
85	杨毅	灾难救助	0	0	0	0
85	杨毅	涉外涉军	0	0	0	0
86	杨澜	国家议程	21	1121	3746	23005
86	杨澜	公权政策	0	0	0	0
86	杨澜	法律案例	1	44	91	369
86	杨澜	社会矛盾	0	0	0	0
86	杨澜	灾难救助	0	0	0	0
86	杨澜	涉外涉军	3	200	571	1434
87	杨锦麟	国家议程	0	0	0	0
87	杨锦麟	公权政策	0	0	0	0
87	杨锦麟	法律案例	5	1549	4081	2994
87	杨锦麟	社会矛盾	5	600	501	395
87	杨锦麟	灾难救助	0	0	0	0
87	杨锦麟	涉外涉军	0	0	0	0
88	五岳散人	国家议程	4	830	730	1828
88	五岳散人	公权政策	6	2699	5491	4974
88	五岳散人	法律案例	14	3880	15728	15834
88	五岳散人	社会矛盾	11	5766	12858	22488
88	五岳散人	灾难救助	0	0	0	0
88	五岳散人	涉外涉军	3	1050	853	1907
89	吴晓波	国家议程	0	0	0	0
89	吴晓波	公权政策	0	0	0	0
89	吴晓波	法律案例	0	0	0	0
89	吴晓波	社会矛盾	1	220	537	95
89	吴晓波	灾难救助	1	15	93	7
89	吴晓波	涉外涉军	0	0	0	0
90	王尼玛	国家议程	6	5422	23094	90996
90	王尼玛	公权政策	0	0	0	0
90	王尼玛	法律案例	0	0	0	0
90	王尼玛	社会矛盾	2	6761	12678	45987
90	王尼玛	灾难救助	5	2062	11048	23384
90	王尼玛	涉外涉军	6	71928	104105	157800
91	苏群	国家议程	5	1307	394	8742
91	苏群	公权政策	1	73	72	58
91	苏群	法律案例	1	198	183	98
91	苏群	社会矛盾	0	0	0	0
91	苏群	灾难救助	4	481	259	1608
91	苏群	涉外涉军	0	0	0	0
92	思想说	国家议程	1	1	55	27
92	思想说	公权政策	0	0	0	0
92	思想说	法律案例	0	0	0	0
92	思想说	社会矛盾	2	20	181	400
92	思想说	灾难救助	0	0	0	0
92	思想说	涉外涉军	0	0	0	0
93	思想聚焦	国家议程	1	173	214	1035
93	思想聚焦	公权政策	0	0	0	0
93	思想聚焦	法律案例	0	0	0	0
93	思想聚焦	社会矛盾	0	0	0	0
93	思想聚焦	灾难救助	0	0	0	0
93	思想聚焦	涉外涉军	4	6739	46372	44690
94	水皮	国家议程	4	243	166	320
94	水皮	公权政策	4	160	193	105
94	水皮	法律案例	0	0	0	0
94	水皮	社会矛盾	5	78	90	104
94	水皮	灾难救助	32	279	702	166
94	水皮	涉外涉军	0	0	0	0
95	石述思	国家议程	4	290	598	1791
95	石述思	公权政策	15	3246	6853	3577
95	石述思	法律案例	19	9391	35834	7185
95	石述思	社会矛盾	16	4387	9666	8959
95	石述思	灾难救助	12	3130	13099	12629
95	石述思	涉外涉军	4	814	1162	700
96	撒贝宁	国家议程	0	0	0	0
96	撒贝宁	公权政策	0	0	0	0
96	撒贝宁	法律案例	1	15	20	62
96	撒贝宁	社会矛盾	0	0	0	0
96	撒贝宁	灾难救助	0	0	0	0
96	撒贝宁	涉外涉军	0	0	0	0
97	芮成钢	国家议程	0	0	0	0
97	芮成钢	公权政策	1	788	1185	0
97	芮成钢	法律案例	1	466	3695	371
97	芮成钢	社会矛盾	0	0	0	0
97	芮成钢	灾难救助	11	6586	9806	7243
97	芮成钢	涉外涉军	1	473	520	225
98	评论员杨禹	国家议程	10	37873	33995	424227
98	评论员杨禹	公权政策	1	188	184	37
98	评论员杨禹	法律案例	5	1083	1332	811
98	评论员杨禹	社会矛盾	12	2747	3906	2748
98	评论员杨禹	灾难救助	8	4713	13998	5280
98	评论员杨禹	涉外涉军	5	884	1536	2104
99	牛文文	国家议程	2	101	454	436
99	牛文文	公权政策	14	389	2623	408
99	牛文文	法律案例	15	419	5169	209
99	牛文文	社会矛盾	7	134	336	104
99	牛文文	灾难救助	19	482	1797	326
99	牛文文	涉外涉军	4	194	139	191
100	闾丘露薇	国家议程	0	0	0	0
100	闾丘露薇	公权政策	7	2197	4603	581
100	闾丘露薇	法律案例	13	2341	5835	850
100	闾丘露薇	社会矛盾	15	2330	4736	2811
100	闾丘露薇	灾难救助	62	13012	36979	8598
100	闾丘露薇	涉外涉军	21	9828	13646	3226
101	罗振宇	国家议程	0	0	0	0
101	罗振宇	公权政策	1	182	181	21
101	罗振宇	法律案例	2	258	423	58
101	罗振宇	社会矛盾	3	739	1512	463
101	罗振宇	灾难救助	0	0	0	0
101	罗振宇	涉外涉军	0	0	0	0
102	路金波	国家议程	1	47	41	351
102	路金波	公权政策	0	0	0	0
102	路金波	法律案例	1	2724	20219	624
102	路金波	社会矛盾	1	60	43	39
102	路金波	灾难救助	0	0	0	0
102	路金波	涉外涉军	1	18	59	132
103	鲁健	国家议程	5	325	347	1967
103	鲁健	公权政策	4	616	1145	116
103	鲁健	法律案例	1	24	19	49
103	鲁健	社会矛盾	1	79	70	33
103	鲁健	灾难救助	2	85	182	256
103	鲁健	涉外涉军	7	438	1439	1816
104	鲁国平先生	国家议程	10	137	1653	663
104	鲁国平先生	公权政策	2	46	248	25
104	鲁国平先生	法律案例	7	187	855	174
104	鲁国平先生	社会矛盾	0	0	0	0
104	鲁国平先生	灾难救助	0	0	0	0
104	鲁国平先生	涉外涉军	19	688	3718	2412
105	刘兴亮	国家议程	1	7	18	49
105	刘兴亮	公权政策	18	75	178	69
105	刘兴亮	法律案例	1	8	4	3
105	刘兴亮	社会矛盾	1	0	0	5
105	刘兴亮	灾难救助	1	2	23	2
105	刘兴亮	涉外涉军	3	129	532	177
106	刘同	国家议程	0	0	0	0
106	刘同	公权政策	0	0	0	0
106	刘同	法律案例	2	499	1575	407
106	刘同	社会矛盾	0	0	0	0
106	刘同	灾难救助	27	9658	95136	73955
106	刘同	涉外涉军	2	1071	2955	33011
